id,name,commune_id
,Augusto e Medina,1
,Baltazar,1
,Centro,1
,Combeima,1
,Estacion,1
,Interlaken,1
,La Pola,1
,Libertador,1
,Pola Parte Alta,1
,Pueblo Nuevo,1
,San Pedro Alejandrino,1
,20 De Julio,2
,7 De Agosto,2
,Alaska,2
,Ancon,2
,Belen,2
,Belencito,2
,Centenario,2
,Cerro Pan de Azucar,2
,Clarita Botero,2
,La Aurora,2
,La Paz,2
,La Sofia,2
,La Trinidad,2
,Malavar,2
,Paraiso,2
,San Diego,2
,Santa Barbara,2
,Santa Cruz,2
,VI Brigada,2
,Vida De Calambeo,2
,Villa Adriana,2
,Antonio Nariño,3
,Belalcazar,3
,Calambeo,3
,Carmenza Rocha,3
,El Carmen,3
,Fenalco,3
,Gaitan Parte Alta,3
,Inem,3
,La Esperanza,3
,La Granja,3
,Las Acacias,3
,San Simon Parte Alta,3
,San Simon Parte Baja,3
,Villa Ilusion,3
,Villa Pinzon,3
,Villa Valentina,3
,Viveros,3
,Alfonzo Lopez,4
,Calarca,4
,Cambulos,4
,Caracoli,4
,Castilla,4
,Gaitan,4
,Jakaranda,4
,Jesus Maria Cordoba,4
,Jose Maria Cordoba Parte Baja,4
,Limonar,4
,Limonar V Sector,4
,Onzaga,4
,Piedra Pintada,4
,Pijao,4
,Restrepo,4
,Rincon Piedra Pintada,4
,San Carlos,4
,San Luis,4
,Sorrento,4
,Toscana,4
,Triunfo,4
,Villa Marle II,4
,Villa Marlen I,4
,Villa Tereza,4
,4 Etapa Del Jordan,5
,6 Etapa Del Jordan,5
,7 Etapa Del Jordan,5
,8 Etapa Del Jordan,5
,9 Etapa Del Jordan,5
,Andalucia,5
,Arboleda Margaritas,5
,Arkacentro,5
,Arkamonica,5
,Arrayanes,5
,Calatayud,5
,Conjunto Residencial La Alameda,5
,Cordobita,5
,El Eden,5
,La Campiña,5
,La Ladera,5
,Las Margaritas,5
,Las Orquideas,5
,Macadamia,5
,Multifamiliares El Jordan,5
,Multifamiliares Las Margaritas,5
,Prados Del Norte,5
,Rincon De La Campiña,5
,San Jacinto,5
,Torre Ladera,5
,Urb. Aimara I,5
,Urb. Aimara II,5
,Urb. Rincon de las Margaritas,5
,Urb. Los Ocobos,5
,Urb. Milenium I y II,5
,Urb. Yacaira,5
,Urb. Los Parrales,5
,Agua Viva,6
,Altos de San Francisco,6
,Balcones Del Vergel,6
,Bosques Del Vergel,6
,Brisas Del Pedregal,6
,Cadaveral I,6
,Cadaveral II,6
,Caminos De Juan Pablo II,6
,Caminos De San Francisco,6
,Caminos Del Vergel,6
,Condominio Ronda Del Vergel,6
,Condominio Tierra Alta,6
,Conjunto Cerrado Ambala,6
,Conjunto Cerrado Los Balsos,6
