id,name,township_id
,Dantas,1
,Dantas De Las Pavas,1
,Alaska,1
,Altamira,2
,Laureles,2
,Los Pastos Cocora,2
,Salitre Cocora,2
,San Rafael,2
,Coello Cocora,3
,Honduras,3
,La Cima,3
,La Linda,3
,Loma De Cocora,3
,Morrochusco,3
,San Cristobal p/a,3
,San Cristobal p/b,3
,San Francisco,3
,San Isidro,3
,San Simón alto,3
,San Simón bajo,3
,Santa Ana,3
,Santa Barbara,3
,Curalito,4
,Gamboa,4
,Los Naranjos,4
,Penaranda Alta,4
,Penaranda Baja,4
,Perico,4
,Tambo,4
,Cataima,5
,Cataimita,5
,El Guaico,5
,El Ingenio,5
,El Moral,5
,Tapias,5
,Alto de Toche,6
,Coello San Juan,6
,Quebradas,6
,Toche,6
,Juntas,7
,Astilleros,8
,Berlin,8
,Chapeton Sector Rural,8
,El corazon,8
,El Retiro,8
,El secreto,8
,La Maria Combeima,8
,La Maria piedra Grande la cima,8
,La Plata del Brillante,8
,La Platica,8
,Llanitos,8
,Pastales Viejo y Nuevo,8
,Pico de Oro,8
,Puerto Peru Llanitos p/a,8
,Ramos y Astilleros,8
,Tres Esquinas,8
,Villa Restrepo,8
,Cay p/b,9
,Cay p/a,9
,El Cural,9
,El Gallo,9
,La Cascada,9
,La Coqueta,9
,La Victoria,9
,Pie de cuestas las amarillas,9
,Santa Teresa,9
,Alaska,10
,Ambala p/a,10
,Ambala Sector el Triunfo,10
,Ancon Tesorito p/a,10
,Ancon Tesorito p/b,10
,Ancon Tesorito Sector Los Pinos,10
,Bellavista,10
,Calambeo,10
,La pedregoza,10
,San Antonio-Ambala,10
,Aures,11
,China Media,11
,El Rubi,11
,La Isabela,11
,La Pluma,11
,LA Beta,11
,La Violeta,11
,Puente Tierra,11
,San Juan de la China,11
,El Ecuador,12
,La flor,12
,Mina Vieja,12
,Rodeito,12
,San Antonio,12
,San Bernando,12
,San Cay Etano Bajo,12
,San Cay Etano Alto,12
,Santa Rita,12
,Yatay,12
,Carrizales,13
,Chembe,13
,China Alta,13
,Chucuni,13
,El Colegio,13
,El Jaguo,13
,La Belleza,13
,La Espereranza,13
,La Helena,13
,La Maria China,13
,La Palmilla,13
,Alto de Gualanday,14
,Briceño,14
,Buenos Aires,14
,Picaleña Sector Rural,14
,Carmen de Bulira,15
,La Cueva,15
,Los Cauchos p/a,15
,Los Cauchos p/b,15
,Alto del Combeima,16
,Aparco,16
,Canadas Potrerito,16
,Charco Rico Bajo,16
,Cural Combeima,16
,El Rodeo,16
,El Salitre,16
,El Totumo,16
,La Montana,16
,Llano del Combeima,16
,Martinica p/a,16
,Martinica p/b,16
,Potrero Grande,16
,El Tejar I -II,17
,El Cedral,17
,Charco Rico Alto,17
,La Florida p/a,17
,La Floridap/b,17
